"rich","year","agri_std","fallow_std","edge_std","NUTS_anon"
12,2007,1.13500070068027,1.7042548682621,0.0354926562247704,"58cd27d7d0ba8424542471221cff4776c0fe6836a7f0f440ec698b9ceb34cf9f"
9,2007,1.39455181646706,1.75690950625574,-1.64604414368304,"36bc0a6e58c5ec1c355739d22872007dbe4f10b2b6a764e357fb7b21d8b5c73d"
7,2007,-1.82771208190125,1.75690950625574,-0.590073549717064,"36bc0a6e58c5ec1c355739d22872007dbe4f10b2b6a764e357fb7b21d8b5c73d"
9,2007,-0.831613880909844,1.75690950625574,1.56526787500165,"36bc0a6e58c5ec1c355739d22872007dbe4f10b2b6a764e357fb7b21d8b5c73d"
5,2007,1.47161003282897,2.28025863457439,-0.383066370605213,"f5f25332b84f322c7cbbbcf740eaf8e63acf96e8618abd62684379c55061566e"
10,2007,0.0225160187507955,2.34211725498152,-1.00204001980942,"0a75f1b8e162dd7db396cf31eab84def9f1be5200636a02bc01a85a484b2eb3f"
15,2007,0.912548193464738,1.7042548682621,-0.256621641310442,"58cd27d7d0ba8424542471221cff4776c0fe6836a7f0f440ec698b9ceb34cf9f"
10,2007,-1.2148551031175,2.34211725498152,2.13153734309535,"0a75f1b8e162dd7db396cf31eab84def9f1be5200636a02bc01a85a484b2eb3f"
13,2007,0.901160930620028,2.33284156137589,-0.212364402394077,"a85abda2df5e3062e115b1cb1cac3e6bdb3cc895f6585af01cc0a42f096e6ae9"
8,2007,-1.58953308099714,2.33284156137589,-0.434659019108956,"a85abda2df5e3062e115b1cb1cac3e6bdb3cc895f6585af01cc0a42f096e6ae9"
13,2007,0.980485210239602,1.95392995536791,0.167275612138496,"5298640a08e932df386f6492e8fb77ce8b4fcb84f4df179f1a5858529c18b7b3"
12,2007,0.693891753869924,1.95392995536791,-0.0887367525755829,"5298640a08e932df386f6492e8fb77ce8b4fcb84f4df179f1a5858529c18b7b3"
14,2007,0.650194836393638,1.95392995536791,0.141882544297151,"5298640a08e932df386f6492e8fb77ce8b4fcb84f4df179f1a5858529c18b7b3"
12,2007,1.56806783602382,2.33284156137589,-0.808812283884839,"a85abda2df5e3062e115b1cb1cac3e6bdb3cc895f6585af01cc0a42f096e6ae9"
7,2007,1.14531153255428,1.95392995536791,0.10317187971756,"5298640a08e932df386f6492e8fb77ce8b4fcb84f4df179f1a5858529c18b7b3"
17,2007,-0.565044858259575,1.95392995536791,0.434660988168425,"5298640a08e932df386f6492e8fb77ce8b4fcb84f4df179f1a5858529c18b7b3"
9,2007,-0.626198590406637,3.01845848142594,-0.593224341537859,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
5,2007,-1.71754418265236,3.01845848142594,-1.05456784058271,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
8,2007,0.291856467492488,3.01845848142594,-0.012428194676086,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
7,2007,-0.951661745085884,3.01845848142594,-0.919197824855245,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
9,2007,-0.0686267876037302,3.01845848142594,-0.372438585837991,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
13,2007,-0.845909454376822,3.01845848142594,0.176617742829102,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
10,2007,0.716807022519376,3.01845848142594,-0.18134268578027,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
11,2007,0.593018181858212,2.61218464022008,-0.119901637514178,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
12,2007,0.157294230355919,2.61218464022008,-0.346552421684997,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
11,2007,1.61628597513636,3.01845848142594,-0.677227687235575,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
7,2007,-1.2706037227602,2.61218464022008,-0.0446932403458441,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
6,2007,0.365748078617509,2.61218464022008,1.15278671054369,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
6,2007,-0.727213150034639,3.01845848142594,-0.902865704706393,"9a663e83351f71640983c5becfc2bd916443c41fad490b9b656c0db0e03e4140"
10,2007,1.07336751530729,2.61218464022008,-0.234399335160429,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
13,2007,-0.497650416676508,2.22046232660338,-1.09476806125335,"f2f165cc02090004f5373dd16f9eb7f0267bd3a5fe84379cced9b9b4650144ba"
6,2007,-0.955576745298435,2.61218464022008,0.109577433480687,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
6,2007,-1.8698999265919,2.22046232660338,-1.34759811485252,"f2f165cc02090004f5373dd16f9eb7f0267bd3a5fe84379cced9b9b4650144ba"
9,2007,0.000242414284997437,2.61218464022008,-0.0714826281282287,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
6,2007,-0.660436296647563,2.61218464022008,0.25885962559204,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
9,2007,-0.161250201377691,2.22046232660338,0.544750915254485,"f2f165cc02090004f5373dd16f9eb7f0267bd3a5fe84379cced9b9b4650144ba"
8,2007,1.08477145297229,2.61218464022008,-0.252392043122495,"a372b5d48abacf362142828ab95aaa3b156d3a5f2eaa70eb88d278ec14053afd"
