"NUTS_code","NUTS_year","n_bird","year","ARAB","GRAS","SEFA","fallow_per","is_bird"
"DE111","DE111_2007",2,2007,1968.101209,922.329979,59.442816,2.05653800881974,1
"DE111","DE111_2010",2,2010,1493.878649,567.498131,19.75,0.958097529360935,1
"DE111","DE111_2016",1,2016,1499.358913,549.040356,26.578239,1.29751261886434,1
"DE112","DE112_2007",2,2007,15179.062613,6792.897429,526.292692,2.39529241357611,1
"DE112","DE112_2010",4,2010,15097.410832,6666.815846,241.748286,1.11075982425954,1
"DE112","DE112_2016",4,2016,14950.797065,7083.027338,363.9822598,1.65192502737038,1
"DE113","DE113_2007",5,2007,9909.190626,9299.621014,430.921023,2.24335076565934,1
"DE113","DE113_2010",4,2010,10154.12411927,9078.211394,155.85886425,0.810400089695086,1
"DE113","DE113_2016",6,2016,9925.631399,9479.488619,219.90792011047,1.13324689518274,1
"DE114","DE114_2007",3,2007,12567.25745,15582.459892,246.840326,0.876883852868067,1
"DE114","DE114_2010",2,2010,12494.409993,15458.833079,78.4057955,0.280489084211259,1
"DE114","DE114_2016",4,2016,12193.003762,15731.655915,138.28572476836,0.495210062961871,1
"DE115","DE115_2010",4,2010,24205.204449,5452.66561,501.83141,1.69206827395791,1
"DE115","DE115_2016",6,2016,23973.759447,5785.544138,471.395208161,1.58402634260099,1
"DE116","DE116_2007",1,2007,11583.500879,12558.242304,571.389444,2.36681104454113,1
"DE116","DE116_2010",2,2010,11650.885118,12081.51063,245.864859,1.03598836632715,1
"DE116","DE116_2016",4,2016,11499.871361,12337.845339,212.3297532968,0.890730248911801,1
"DE117","DE117_2016",1,2016,3076.845157,245.493404,118.496447,3.56665778710805,1
"DE118","DE118_2007",1,2007,39612.946994,6828.613678,2238.290192,4.81958435421289,1
"DE118","DE118_2010",1,2010,40533.360786,6680.101003,781.8346853,1.65595712679165,1
"DE118","DE118_2016",6,2016,39407.937167,7242.408778,1173.6901837789,2.51593028948309,1
"DE11A","DE11A_2010",1,2010,50520.119942,25484.009503,180.9556113,0.23808655216681,1
"DE11A","DE11A_2016",4,2016,49755.395785,25693.068309,475.3760807156,0.630067273633744,1
"DE11B","DE11B_2007",1,2007,56675.676056,8118.41885795,3707.586174,5.72210504510306,1
"DE11B","DE11B_2010",1,2010,57442.716043,7921.553372,1969.744028,3.01348740776712,1
"DE11B","DE11B_2016",4,2016,56354.181617,8425.449124,2894.472056,4.46818239451316,1
"DE11C","DE11C_2007",1,2007,16755.010955,9386.943287,232.907103,0.890932257183009,1
"DE11C","DE11C_2010",1,2010,16879.024662,9258.089805,60.737335,0.232379649546568,1
"DE11C","DE11C_2016",1,2016,17020.955575,9228.213865,209.263711045,0.797220314049678,1
"DE11D","DE11D_2007",2,2007,34452.1020411,30937.9539203,782.63821198,1.1968764982278,1
"DE11D","DE11D_2010",2,2010,35008.93195,29483.842078,211.348663,0.327709059170321,1
"DE11D","DE11D_2016",5,2016,34181.615393,29362.921218,372.132418499,0.585624568760458,1
"DE121","DE121_2016",1,2016,527.452391,779.125912,47.380155,3.62627749834906,1
"DE122","DE122_2010",1,2010,1840.667183,450.977613,196.562754,8.57736566954419,1
"DE122","DE122_2016",1,2016,1825.05878,586.312081,103.771075,4.303405862546,1
"DE123","DE123_2007",1,2007,25787.138424,6616.008385,3402.505413,10.5005400650006,1
"DE123","DE123_2010",2,2010,27752.579624,6907.083951,1881.010348,5.42708772671634,1
"DE123","DE123_2016",5,2016,27853.957266,7785.972006,1870.111984,5.24723820220717,1
"DE124","DE124_2007",2,2007,8763.6628455,4089.339008,1368.305809,10.6458072954171,1
"DE124","DE124_2010",2,2010,9060.2635136,3980.857398,794.010058,6.0885108219013,1
"DE124","DE124_2016",3,2016,9075.5549647,4305.063479,689.248651626283,5.15109712250111,1
"DE125","DE125_2007",1,2007,1710.384497,359.419915,172.152974,8.31735467379997,1
"DE127","DE127_2010",1,2010,33957.258676,10608.461762,1664.017514727,3.73385081262624,1
"DE127","DE127_2016",1,2016,32631.85106464,10993.8537866,2331.733667817,5.34486187849117,1
"DE128","DE128_2007",1,2007,27526.2428543,6942.695851,2055.0371397,5.9619971397147,1
"DE128","DE128_2010",1,2010,29227.00082947,6916.047188,980.003629,2.71145817177983,1
"DE128","DE128_2016",4,2016,29035.038749914,7372.926501,1362.47464528447,3.74224331377669,1
"DE12A","DE12A_2010",1,2010,8339.46022986,8733.446057,197.003944,1.15389811605551,1
"DE12A","DE12A_2016",3,2016,8124.0695504858,9502.8249,264.85829043862,1.50258056620587,1
"DE12B","DE12B_2007",2,2007,10714.825162,6710.519016,716.648866,4.11268126861328,1
"DE12B","DE12B_2016",2,2016,11270.758277,7663.297289,457.26170577027,2.41502251948271,1
"DE131","DE131_2016",1,2016,1546.215932,992.95,55.303383,2.17801374471182,1
"DE132","DE132_2007",1,2007,18435.6021712,23863.915498,1500.575719147,3.54750077975388,1
"DE132","DE132_2010",3,2010,18777.6109177,23384.748711,622.093893846,1.47547219682302,1
